"","COUNTRY","YEAR","UNEMP","INCOME","BEER","OTHER","SPIRITS","WINE","MORTALITY"
"339","Lithuania","2013",11.8,14930,6.71,1.72,5.62,1.1,92.8435293110544
"340","Luxembourg","2013",5.9,31449,3.76,0,2.46,5.34,47.4046757131577
"341","Hungary","2013",10.2,13079,3.77,0,3.73,3.2,76.0477973925925
"342","Netherlands","2013",7.3,23800,4.21,0,1.32,3.01,18.3853379182088
"343","Austria","2013",5.4,25655,6,0,1.7,3.9,32.8874758521231
"344","Poland","2013",10.3,13896,5.74,0,4.23,0.82,47.4187241842513
"345","Portugal","2013",16.4,16490,2.81,0.41,0.82,6.5,56.6030361479574
"346","Romania","2013",7.1,9471,5.1,0,1.4,3.1,108.641416504422
"347","Slovenia","2013",10.1,16057,4.55,0,0.89,4.09,20.3094763462234
"348","Slovakia","2013",14.2,14656,3.43,0.59,4.14,2.37,39.2470371210828
"349","Finland","2013",8.2,22725,4.28,0.92,2.03,1.84,31.7875655991827
"350","Sweden","2013",8,23015,2.65,0.11,1.06,3.5,17.4058504462104
"351","United Kingdom","2013",7.5,22615,3.38,0.83,2.09,3.36,17.4023308982009
"352","Belgium","2014",8.5,24628,4.72,0.41,1.47,3.97,31.7009763111326
"353","Bulgaria","2014",11.4,9754,4.06,0.11,4.76,1.74,39.6096513277422
"354","Czechia","2014",6.1,16397,7.15,0,3.21,2.7,44.5691223012775
"355","Denmark","2014",6.9,22518,3.62,0,1.57,4.34,36.1218368701469
"356","Germany","2014",5,26775,5.71,0,2.48,3.41,30.9672853804057
"357","Estonia","2014",7.4,14258,5.66,1.65,8.7,1.28,76.8039201900045
"358","Ireland","2014",11.9,18920,5.17,0.77,1.98,3.08,33.3319568823802
"359","Greece","2014",26.5,14971,2.09,0.09,1.5,3.32,22.2267992970618
"360","Spain","2014",24.5,17895,4.35,0,2.19,2.16,35.0624946992667
"361","France","2014",10.3,24161,2.26,0.2,2.47,7.04,36.3285830955014
"362","Croatia","2014",17.2,11829.1718994276,4.26,0.37,1.33,4.67,46.403860290289
"363","Italy","2014",12.7,20703,1.73,0,0.86,4.97,20.0206522521925
"364","Cyprus","2014",16.1,16863,3.21,0,3.6,2.78,11.9319311575491
"365","Latvia","2014",10.8,11915,4.8,0.6,4,1.2,69.8020147843386
"366","Lithuania","2014",10.7,15529,6.45,1.79,5.5,1.08,88.9047152662268
"367","Luxembourg","2014",6,32368,3.99,0,2.48,5.23,46.8327611309501
"368","Hungary","2014",7.7,13426,3.9,0,4.08,2.9,74.0135524669001
"369","Netherlands","2014",7.4,24208,3.84,0,1.32,3,18.2228129572364
"370","Austria","2014",5.6,26163,6.3,0,1.7,4.2,32.2217763083513
"371","Poland","2014",9,14314,5.8,0,3.76,0.89,45.7225769001241
"372","Portugal","2014",14.1,16644,2.71,0.44,0.82,6.38,54.4674020344027
"373","Romania","2014",6.8,9718,4.9,0,1.4,3.2,108.835719659608
"374","Slovenia","2014",9.7,16265,5.37,0,0.82,4.73,19.1550446918902
"375","Slovakia","2014",13.2,14967,3.32,0.59,4.14,2.84,39.4271261962286
"376","Finland","2014",8.7,23066,4.17,0.86,1.92,1.8,30.2758082878766
"377","Sweden","2014",7.9,23593,2.64,0.11,0.99,3.46,17.4130811339666
"378","United Kingdom","2014",6.1,23213,3.48,0.76,2.07,3.38,17.3508718307557
"379","Belgium","2015",8.5,25473,4.6,0.32,1.47,3.97,31.5927329137669
"380","Bulgaria","2015",9.2,10272,4.22,0.13,4.99,1.96,39.7365674701766
"381","Czechia","2015",5.1,17157,6.9,0,3.25,2.67,43.6762913912353
"382","Denmark","2015",6.3,23764,3.49,0,1.68,4.21,34.6452138093801
"383","Germany","2015",4.6,27615,5.66,0,2.49,3.84,31.3817198504444
"384","Estonia","2015",6.2,15192,5.44,1.6,8.37,1.23,71.9576453259809
"385","Ireland","2015",10,19982,5.14,0.77,1.97,3.06,32.0846578669878
"386","Greece","2015",24.9,15080,2.04,0.08,1.44,3.08,23.0917886343055
"387","Spain","2015",22.1,19194,4.51,0,2.21,1.55,35.2311170488351
"388","France","2015",10.4,24842,2.16,0.2,2.42,7.09,35.6234862067425
"389","Croatia","2015",16.1,12109,4.5,0.36,1.34,3.68,46.9935649282979
"390","Italy","2015",11.9,21409,1.78,0,0.74,4.61,20.1950244497927
"391","Cyprus","2015",15,17649,2.84,0,4,2.71,11.896660578046
"392","Latvia","2015",9.9,13077,4.8,0.65,4.13,1.24,68.3164047389997
"393","Lithuania","2015",9.1,16540,6.28,1.76,5.35,1.03,88.2000167500426
"394","Luxembourg","2015",6.5,33089,3.91,0,2.46,5.47,46.1405222692807
"395","Hungary","2015",6.8,13993,3.93,0,3.57,3.41,76.3683915631736
"396","Netherlands","2015",6.9,24948,3.83,0,1.32,2.88,18.8231043267124
"397","Austria","2015",5.7,26807,6.1,0,1.7,3.6,32.0417286045013
"398","Poland","2015",7.5,15134,5.83,0,3.76,0.89,46.612203150919
"399","Portugal","2015",12.6,17626,2.69,0.48,0.82,6.54,52.067367358792
"400","Romania","2015",6.8,10535,5.78,0,1.7,2.92,107.268358809876
"401","Slovenia","2015",9,16909,5.73,0,0.86,4.9,19.7895159098826
"402","Slovakia","2015",11.5,15892,3.44,0.47,4.27,2.61,39.6690780212469
"403","Finland","2015",9.4,24031,4.13,0.79,1.84,1.75,28.8085346623878
"404","Sweden","2015",7.4,24566,2.62,0.11,1.01,3.42,17.4063232656414
"405","United Kingdom","2015",5.3,24563,3.49,0.73,2.13,3.48,17.655078336814
