"","COUNTRY","YEAR","UNEMP","INCOME","BEER","OTHER","SPIRITS","WINE","MORTALITY"
"78","Slovakia","2003",17.7,8652,4.38,0.36,3.65,1.46,53.6194729475285
"79","Finland","2003",9,15686,4.37,1.13,2.38,1.43,34.9477943305562
"80","Sweden","2003",6.6,17157,2.8,0,1.2,2.9,21.2196801573496
"81","United Kingdom","2003",5,19265,5.16,0.6,2.45,3.04,16.5447045133697
"82","Belgium","2004",8.4,19622,5.95,0.02,1.84,4.26,29.4726155102353
"83","Bulgaria","2004",12.1,5474,3.52,0.06,5.29,2.09,38.1782320102053
"84","Czechia","2004",8.3,11963,7.55,0,3.53,2.23,68.0468967484762
"85","Denmark","2004",5.5,16920,5.11,0,1.85,4.32,58.4373006802418
"86","Germany","2004",10.4,21039,6.29,0,2.48,3.06,39.7092869804021
"87","Estonia","2004",10.1,8063,5.29,0.69,6.61,0.64,79.0179663831167
"88","Ireland","2004",4.7,18032,7.01,1.15,2.45,2.53,51.7810512350832
"89","Greece","2004",10.6,16654,2.22,0.21,2.26,4.91,27.2091692525465
"90","Spain","2004",11,16664,4.1,0,3.69,3.89,49.1575797361404
"91","France","2004",8.9,19623,2.24,0.17,2.67,8.1,53.5624529388133
"92","Croatia","2004",13.8,9130,4.94,0.38,1.31,6.5,76.4114153942155
"93","Italy","2004",8,19340,1.72,0,1.07,6.19,33.4024871333306
"94","Cyprus","2004",4.6,15421,3.6,0,6.79,2.64,15.6222070314996
"95","Latvia","2004",11.7,7514,3.69,0.43,3.74,0.95,57.3271281903677
"96","Lithuania","2004",10.9,9352,4.62,0.79,4.31,2.37,89.5782351434066
"97","Luxembourg","2004",5,28208,4.27,0,2.58,5.58,56.7662706828666
"98","Hungary","2004",6.1,10340,4.385,0,4.155,4.55,118.470775635808
"99","Netherlands","2004",5.7,20599,4.8,0,1.66,3.1,18.9747018720036
"100","Austria","2004",5.5,21127,6.7,0,1.6,3.8,40.2632966968554
"101","Poland","2004",19.1,8848,4.66,0,3.01,1.53,49.7846856399471
"102","Portugal","2004",7.8,14743,3.7,0.48,1.23,8.05,80.3113064468386
"103","Romania","2004",8,5560,4.24,0,1.29,4.29,131.156280207056
"104","Slovenia","2004",6.3,13823,4.51,0.2,1.11,4.18,34.2498589153673
"105","Slovakia","2004",18.4,9233,3.99,0.48,4.23,1.33,49.3354390240105
"106","Finland","2004",8.8,16839,4.57,1.11,2.79,1.42,37.8049660425067
"107","Sweden","2004",7.4,17628,2.6,0,1.2,2.8,22.1629714352279
"108","United Kingdom","2004",4.7,20553,5.09,0.62,2.51,3.32,16.94685286675
"109","Belgium","2005",8.5,20422,6.03,0.02,1.97,4.2,31.069567952599
"110","Bulgaria","2005",10.1,5902,3.56,0.09,4.93,1.95,40.0345714680786
"111","Czechia","2005",7.9,12586,7.39,0,3.64,2.23,65.1430137960623
"112","Denmark","2005",4.8,17545,5.05,0,1.78,4.44,56.7432572637461
"113","Germany","2005",11.2,21653,6.62,0,2.29,3.13,38.6705713591373
"114","Estonia","2005",8,9006,5.05,1.24,6.99,1.42,81.1517731842077
"115","Ireland","2005",4.6,19459,7.04,1.08,2.55,2.75,49.8220615034555
"116","Greece","2005",10,17018,2.22,0.2,2.27,5.35,26.7278049532296
"117","Spain","2005",9.2,17565,4.98,0,3.27,3.67,48.0512188215682
"118","France","2005",8.9,20609,2.3,0.3,2.6,7.4,52.566636365508
"119","Croatia","2005",13,9352,4.85,0.38,1.27,5.08,74.0765831375175
"120","Italy","2005",7.7,19941,1.48,0,0.9,5.03,31.5446718765329
"121","Cyprus","2005",5.3,16968,3.62,0,5,2.79,15.0878296091387
"122","Latvia","2005",10,8449,3.8,0.6,4.57,0.94,65.3790439151615
"123","Lithuania","2005",8.3,10079,5.8,0.6,4.5,1.4,100.597266045674
"124","Luxembourg","2005",4.6,29131,4.46,0,2.44,5.12,57.0807408447415
"125","Hungary","2005",7.2,11080,4.3,0,4.14,4.5,118.142627274109
"126","Netherlands","2005",5.9,21304,4.77,0,1.59,3.3,18.4176240453593
"127","Austria","2005",5.6,22584,6.07,0,1.6,4.1,39.2003987469698
"128","Poland","2005",17.9,8927,5.3,0,3,1.2,51.19707899445
"129","Portugal","2005",8.8,15719,3.76,0.48,1.12,7.97,76.6761425257318
"130","Romania","2005",7.1,5864,4.07,0,1.28,2.33,128.269643440648
"131","Slovenia","2005",6.5,14642,4.7,0.19,1.09,5.22,31.3487575718293
"132","Slovakia","2005",16.4,9799,3.85,0,5.42,1.56,48.8564356208171
"133","Finland","2005",8.4,17386,4.59,1.08,2.82,1.47,38.6877302744199
"134","Sweden","2005",7.7,18365,2.6,0,1,2.9,21.6542491356222
"135","United Kingdom","2005",4.8,20931,4.85,0.65,2.45,3.42,17.4859876759842
"136","Belgium","2006",8.3,21226,5.58,0.02,0.99,4.35,31.138461665671
"137","Bulgaria","2006",9,6279,3.96,0.07,4.8,1.58,40.49556821281
"138","Czechia","2006",7.1,13111,7.03,0,3.75,2.34,61.1023868357368
"139","Denmark","2006",3.9,18665,4.92,0.07,1.69,4.34,57.1343622553197
"140","Germany","2006",10.1,22303,6.73,0,2.28,3.13,37.4592806262009
"141","Estonia","2006",5.9,9860,5.16,1.27,7.95,1.45,84.7688481986743
"142","Ireland","2006",4.8,20290,6.84,1.1,2.57,2.87,47.8166212404501
"143","Greece","2006",9,18358,2.27,0.18,2.27,4.75,25.5076862574897
"144","Spain","2006",8.5,18331,5.15,0,3.28,3.43,45.9209406351158
"145","France","2006",8.8,21327,2.4,0.2,2.7,7.1,50.2885334351852
"146","Croatia","2006",11.6,9945,4.98,0.39,1.27,5.2,68.6025514676559
