"","UNEMP","INCOME","BEER","OTHER","SPIRITS","WINE","MORTALITY"
"UNEMP",1,-0.388304574824143,-0.219861785356948,0.0707788590654733,0.0857928176519822,-0.1624401162023,0.0259712493338589
"INCOME",-0.388304574824143,1,-0.0651526079806196,-0.105689865097062,-0.428385176426479,0.363482206763852,-0.560897296165378
"BEER",-0.219861785356948,-0.0651526079806196,1,0.182666458880326,0.19396267247659,-0.3772992327677,0.230545060966367
"OTHER",0.0707788590654733,-0.105689865097062,0.182666458880326,1,0.422144831529808,-0.322799506878768,0.223444997905122
"SPIRITS",0.0857928176519822,-0.428385176426479,0.19396267247659,0.422144831529808,1,-0.56545689049614,0.322972890394525
"WINE",-0.1624401162023,0.363482206763852,-0.3772992327677,-0.322799506878768,-0.56545689049614,1,-0.0479806394534219
"MORTALITY",0.0259712493338589,-0.560897296165378,0.230545060966367,0.223444997905122,0.322972890394525,-0.0479806394534219,1
