"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Croatia"," Data source"," Spirits","1.24","1.25","1.24","1.27","1.27","1.31","1.83","1.81","1.84","1.81"
"Croatia"," Data source"," Other alcoholic beverages","0.42","0.42","0.41","0.39","0.38","0.38","0.03","0.03","0.04","0.04"
"Cyprus"," Data source"," All types","10.81","12.03","11.58","11.48","11.41","13.03","10.62","11.68","10.16","9.56"
"Cyprus"," Data source"," Beer","3.69","3.90","3.71","3.58","3.62","3.60","3.56","3.50","3.71","3.69"
"Cyprus"," Data source"," Wine","2.60","2.97","2.92","2.92","2.79","2.64","2.50","2.70","2.47","2.52"
"Cyprus"," Data source"," Spirits","4.52","5.17","4.95","4.97","5.00","6.79","4.55","5.47","3.97","3.35"
"Cyprus"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Czechia"," Data source"," All types","13.31","13.35","13.35","13.12","13.26","13.31","13.88","13.72","13.75","13.98"
"Czechia"," Data source"," Beer","7.00","7.15","7.03","7.03","7.39","7.55","7.63","7.57","7.46","7.64"
"Czechia"," Data source"," Wine","2.45","2.45","2.46","2.34","2.23","2.23","2.24","2.25","2.38","2.39"
"Czechia"," Data source"," Spirits","3.86","3.74","3.86","3.75","3.64","3.53","4.01","3.90","3.92","3.94"
"Czechia"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Denmark"," Data source"," All types","10.09","10.71","11.00","11.02","11.27","11.27","11.54","11.33","11.55","11.68"
"Denmark"," Data source"," Beer","4.13","4.51","4.77","4.92","5.05","5.11","5.47","5.48","5.56","5.75"
"Denmark"," Data source"," Wine","4.38","4.47","4.42","4.34","4.44","4.32","4.47","4.43","4.59","4.52"
"Denmark"," Data source"," Spirits","1.52","1.66","1.74","1.69","1.78","1.85","1.60","1.42","1.39","1.41"
"Denmark"," Data source"," Other alcoholic beverages","0.05","0.06","0.07","0.07","0","0","0","0","0","0"
"Estonia"," Data source"," All types","14.32","16.38","17.37","15.83","14.70","13.23","11.55","10.36","9.22","7.90"
"Estonia"," Data source"," Beer","4.69","5.05","5.30","5.16","5.05","5.29","4.59","4.63","4.52","4.24"
"Estonia"," Data source"," Wine","1.06","1.30","1.39","1.45","1.42","0.64","0.37","0.36","0.32","0.35"
"Estonia"," Data source"," Spirits","7.20","8.20","9.28","7.95","6.99","6.61","6.11","5.05","4.10","3.08"
"Estonia"," Data source"," Other alcoholic beverages","1.37","1.83","1.40","1.27","1.24","0.69","0.49","0.32","0.28","0.23"
"Finland"," Data source"," All types","9.96","10.26","10.45","10.15","9.95","9.89","9.31","9.25","8.94","8.59"
"Finland"," Data source"," Beer","4.54","4.62","4.70","4.57","4.59","4.57","4.37","4.43","4.37","4.27"
"Finland"," Data source"," Wine","1.68","1.67","1.64","1.55","1.47","1.42","1.43","1.31","1.19","1.07"
"Finland"," Data source"," Spirits","2.49","2.69","2.86","2.86","2.82","2.79","2.38","2.37","2.32","2.22"
"Finland"," Data source"," Other alcoholic beverages","1.25","1.28","1.25","1.17","1.08","1.11","1.13","1.14","1.06","1.04"
"France"," Data source"," All types","12.30","12.30","12.60","12.40","12.60","13.18","13.49","13.78","13.89","13.63"
"France"," Data source"," Beer","2.20","2.20","2.30","2.40","2.30","2.24","2.29","2.25","2.15","2.08"
"France"," Data source"," Wine","7.10","7.00","7.30","7.10","7.40","8.10","8.36","8.59","8.40","8.59"
"France"," Data source"," Spirits","2.70","2.80","2.70","2.70","2.60","2.67","2.65","2.74","2.77","2.71"
"France"," Data source"," Other alcoholic beverages","0.30","0.30","0.30","0.20","0.30","0.17","0.19","0.20","0.56","0.25"
"Georgia"," Data source"," All types","6.88","8.05","7.64","6.29","4.70","3.74","3.36","3.02","3.09","3.71"
"Georgia"," Data source"," Beer","0.89","1.17","1.08","0.87","0.78","0.59","0.56","0.50","0.45","0.41"
"Georgia"," Data source"," Wine","3.95","4.81","4.49","3.49","2.01","1.28","1.27","1.42","1.57","2.00"
"Georgia"," Data source"," Spirits","2.04","2.07","2.06","1.93","1.91","1.87","1.53","1.10","1.07","1.30"
"Georgia"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Germany"," Data source"," All types","11.61","11.75","11.89","12.14","12.04","11.83","11.92","12.25","12.46","12.91"
"Germany"," Data source"," Beer","6.34","6.35","6.48","6.73","6.62","6.29","6.43","6.67","6.71","7.16"
"Germany"," Data source"," Wine","3.11","3.24","3.24","3.13","3.13","3.06","3.14","3.14","3.21","3.18"
"Germany"," Data source"," Spirits","2.15","2.16","2.16","2.28","2.29","2.48","2.35","2.44","2.54","2.57"
"Germany"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Greece"," Data source"," All types","9.07","9.52","9.70","9.47","10.03","9.60","9.49","8.67","9.32","9.16"
"Greece"," Data source"," Beer","2.27","2.40","2.38","2.27","2.22","2.22","2.25","2.38","2.35","2.40"
"Greece"," Data source"," Wine","4.46","4.72","4.88","4.75","5.35","4.91","4.58","3.69","4.45","4.34"
"Greece"," Data source"," Spirits","2.18","2.22","2.26","2.27","2.27","2.26","2.63","2.57","2.49","2.39"
"Greece"," Data source"," Other alcoholic beverages","0.16","0.17","0.17","0.18","0.20","0.21","0.03","0.03","0.03","0.03"
"Hungary"," Data source"," All types","11.46","11.64","12.55","13.16","12.94","","13.24","13.28","13.18","12.23"
"Hungary"," Data source"," Beer","4.26","4.28","4.58","4.38","4.30","","4.47","4.34","4.25","4.30"
"Hungary"," Data source"," Wine","3.21","3.25","3.85","4.53","4.50","","4.60","4.88","4.86","4.08"
"Hungary"," Data source"," Spirits","3.99","4.11","4.12","4.25","4.14","","4.17","4.06","4.07","3.85"
"Hungary"," Data source"," Other alcoholic beverages","0","0","0","","","","","","",""
"Iceland"," Data source"," All types","7.24","7.19","7.53","7.20","7.05","6.71","6.52","6.53","6.32","6.14"
"Iceland"," Data source"," Beer","3.84","3.55","3.95","3.78","3.67","3.49","3.35","3.29","3.12","3.03"
"Iceland"," Data source"," Wine","1.94","2.12","2.04","1.97","1.95","1.83","1.71","1.59","1.48","1.34"
"Iceland"," Data source"," Spirits","1.47","1.52","1.54","1.45","1.43","1.39","1.47","1.65","1.73","1.76"
"Iceland"," Data source"," Other alcoholic beverages","","","","","","","","0","0","0"
"Ireland"," Data source"," All types","11.27","12.42","13.37","13.38","13.42","13.14","13.07","13.98","14.06","13.87"
"Ireland"," Data source"," Beer","5.76","6.18","6.63","6.84","7.04","7.01","7.22","7.56","7.76","7.89"
"Ireland"," Data source"," Wine","2.65","2.86","3.00","2.87","2.75","2.53","2.26","2.14","1.94","1.76"
"Ireland"," Data source"," Spirits","1.99","2.45","2.68","2.57","2.55","2.45","2.43","3.11","3.02","2.98"
"Ireland"," Data source"," Other alcoholic beverages","0.87","0.93","1.06","1.10","1.08","1.15","1.15","1.16","1.34","1.23"
"Israel"," Data source"," All types","2.56","2.48","2.34","2.23","2.41","2.30","2.36","2.55","2.61","2.63"
"Israel"," Data source"," Beer","1.05","1.02","0.97","0.78","0.88","0.76","0.79","0.92","1.05","1.12"
"Israel"," Data source"," Wine","0.18","0.22","0.17","0.18","0.22","0.23","0.22","0.30","0.27","0.35"
"Israel"," Data source"," Spirits","1.27","1.19","1.15","1.21","1.27","1.24","1.36","1.32","1.29","1.16"
"Israel"," Data source"," Other alcoholic beverages","0.05","0.05","0.05","0.05","0.05","0.06","0","0","0","0"
"Italy"," Data source"," All types","6.40","6.84","7.19","7.26","7.41","8.98","9.30","9.25","9.68","9.78"
"Italy"," Data source"," Beer","1.40","1.47","1.55","1.51","1.48","1.72","1.75","1.64","1.69","1.64"
"Italy"," Data source"," Wine","4.30","4.65","4.92","4.89","5.03","6.19","6.47","6.54","6.93","7.06"
"Italy"," Data source"," Spirits","0.70","0.72","0.72","0.85","0.90","1.07","1.07","1.07","1.07","1.07"
"Italy"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Kazakhstan"," Data source"," All types","6.44","7.40","7.26","6.91","6.73","6.39","6.42","5.94","5.66","6.00"
"Kazakhstan"," Data source"," Beer","1.87","2.81","2.53","2.16","1.88","1.48","1.34","1.13","0.96","0.85"
"Kazakhstan"," Data source"," Wine","0.35","0.27","0.33","0.35","0.43","0.40","0.53","0.41","0.25","0.35"
"Kazakhstan"," Data source"," Spirits","4.22","4.33","4.40","4.40","4.42","4.50","4.55","4.41","4.45","4.80"
"Kazakhstan"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Kyrgyzstan"," Data source"," All types","5.99","7.28","6.97","6.77","6.52","6.74","6.43","5.89","5.74","5.32"
"Kyrgyzstan"," Data source"," Beer","0.48","1.00","0.75","0.65","0.65","0.70","0.54","0.36","0.32","0.26"
