"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Tajikistan"," Data source"," All types","0.68","0.59","0.59","0.63","0.76","0.82","0.88","0.94","0.94","0.91"
"Tajikistan"," Data source"," Beer","0.24","0.30","0.19","0.17","0.15","0.14","0.14","0.14","0.14","0.15"
"Tajikistan"," Data source"," Wine","0.04","0.08","0.13","0.17","0.29","0.30","0.32","0.33","0.31","0.21"
"Tajikistan"," Data source"," Spirits","0.40","0.21","0.26","0.29","0.33","0.39","0.42","0.47","0.48","0.55"
"Tajikistan"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Republic of North Macedonia"," Data source"," All types","3.90","4.27","4.04","4.01","4.58","3.94","3.91","4.49","4.60","4.86"
"Republic of North Macedonia"," Data source"," Beer","1.71","2.06","2.04","2.00","2.00","1.98","1.94","1.94","1.99","2.00"
"Republic of North Macedonia"," Data source"," Wine","1.28","1.29","1.04","1.06","1.79","1.03","1.05","1.78","1.81","2.05"
"Republic of North Macedonia"," Data source"," Spirits","0.88","0.90","0.94","0.93","0.79","0.91","0.90","0.76","0.80","0.82"
"Republic of North Macedonia"," Data source"," Other alcoholic beverages","0.02","0.02","0.02","0.02","0.01","0.02","0.01","0.01","0.01","0"
"Turkey"," Data source"," All types","1.40","1.39","1.26","1.29","1.29","1.35","1.42","1.47","1.49","1.54"
"Turkey"," Data source"," Beer","0.84","0.85","0.79","0.76","0.77","0.81","0.79","0.77","0.74","0.76"
"Turkey"," Data source"," Wine","0.10","0.08","0.05","0.05","0.06","0.07","0.04","0.04","0.05","0.05"
"Turkey"," Data source"," Spirits","0.47","0.46","0.42","0.47","0.46","0.47","0.59","0.66","0.69","0.73"
"Turkey"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Turkmenistan"," Data source"," All types","2.35","2.41","2.55","2.72","2.85","2.86","2.88","2.86","2.90","3.78"
"Turkmenistan"," Data source"," Beer","0.25","0.22","0.30","0.27","0.22","0.19","0.17","0.09","0.08","0.08"
"Turkmenistan"," Data source"," Wine","0.82","0.95","1.01","1.20","1.37","1.42","1.46","1.51","1.54","2.39"
"Turkmenistan"," Data source"," Spirits","1.28","1.24","1.24","1.25","1.26","1.25","1.26","1.26","1.28","1.31"
"Turkmenistan"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Ukraine"," Data source"," All types","9.41","9.53","8.92","8.04","7.34","6.79","5.92","4.89","4.31","4.49"
"Ukraine"," Data source"," Beer","3.32","3.57","3.55","3.01","2.67","2.18","1.95","1.74","1.51","1.28"
"Ukraine"," Data source"," Wine","0.84","0.84","0.78","0.69","0.63","0.55","0.68","0.70","0.47","0.36"
"Ukraine"," Data source"," Spirits","4.60","4.84","4.36","4.13","3.86","4.06","3.29","2.45","2.33","2.85"
"Ukraine"," Data source"," Other alcoholic beverages","0.66","0.28","0.23","0.21","0.18","0","0","0","0","0"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," All types","10.14","10.78","11.14","10.96","11.37","11.55","11.25","11.31","11.29","10.82"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," Beer","3.84","4.22","4.45","4.70","4.85","5.09","5.16","5.11","5.06","4.98"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," Wine","3.23","3.44","3.53","3.25","3.42","3.32","3.04","3.27","3.60","3.25"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," Spirits","2.16","2.28","2.35","2.25","2.45","2.51","2.45","2.32","2.03","1.96"
"United Kingdom of Great Britain and Northern Ireland"," Data source"," Other alcoholic beverages","0.92","0.83","0.80","0.75","0.65","0.62","0.60","0.61","0.61","0.63"
"Uzbekistan"," Data source"," All types","1.78","1.84","1.86","1.93","1.88","2.02","3.35","3.12","3.23","3.22"
"Uzbekistan"," Data source"," Beer","0.84","0.78","0.67","0.62","0.46","0.35","0.28","0.25","0.23","0.20"
"Uzbekistan"," Data source"," Wine","0.10","0.22","0.22","0.23","0.25","0.36","0.50","0.37","0.49","0.48"
"Uzbekistan"," Data source"," Spirits","0.84","0.84","0.97","1.09","1.17","1.30","2.57","2.49","2.51","2.54"
"Uzbekistan"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
